A1BG        P04217
ASCL5       Q7RTU5
ASF1A       Q9Y294
ASF1B       Q9NVP2
ASGR1       P07306
ASGR2       P07307
ASH1L       Q9NR48
ASH2L       Q9UBL3
ASIC1       P78348
ASIC2       Q16515
ASIC3       Q9UHC3
ASIC4       Q96FT7
ASIC5       Q9NY37
ASIP        P42127
ASL         P04424
ASMT        P46597
ASMTL       O95671
ASNA1       O43681
ASNS        P08243
ASNSD1      Q9NWL6
ASPA        P45381
ASPDH       A6ND91
ASPG        Q86U10
ASPH        Q12797
ASPHD1      Q5U4P2
ASPHD2      Q6ICH7
ASPM        Q8IZT6
ASPN        Q9BXN1
ASPRV1      Q53RT3
ASPSCR1     Q9BZE9
ASRGL1      Q7L266
ASS1        P00966
ASTE1       Q2TB18
ASTL        Q6HA08
ASTN1       O14525
ASTN2       O75129
ASXL1       Q8IXJ9
ASXL2       Q76L83
ASXL3       Q9C0F0
ASZ1        Q8WWH4
ATAD1       Q8NBU5
ATAD2       Q6PL18
ATAD2B      Q9ULI0
ATAD3A      Q9NVI7
ATAD3B      Q5T9A4
ATAD3C      Q5T2N8
ATAD5       Q96QE3
ATAT1       Q5SQI0
ATCAY       Q86WG3
ATE1        O95260
ATF1        P18846
ATF2        P15336
ATF3        P18847
ATF4        P18848
ATF5        Q9Y2D1
ATF6        P18850
ATF6B       Q99941
ATF7        P17544
ATF7IP      Q6VMQ6
ATF7IP2     Q5U623
ATG2A       Q2TAZ0
ATG2B       Q96BY7
ATG3        Q9NT62
ATG4A       Q8WYN0
ATG4B       Q9Y4P1
ATG4C       Q96DT6
ATG4D       Q86TL0
ATG5        Q9H1Y0
ATG7        O95352
ATG9A       Q7Z3C6
ATG9B       Q674R7
ATG10       Q9H0Y0
ATG12       O94817
ATG13       O75143
ATG14       Q6ZNE5
ATG16L1     Q676U5
ATG16L2     Q8NAA4
ATG101      Q9BSB4
ATIC        P31939
ATL1        Q8WXF7
ATL2        Q8NHH9
ATL3        Q6DD88
ATM         Q13315
ATMIN       O43313
ATN1        P54259
ATOH1       Q92858
ATOH7       Q8N100
ATOH8       Q96SQ7
ATOX1       O00244
ATP1A1      P05023
ATP1A2      P50993
ATP1A3      P13637
ATP1A4      Q13733
ATP1B1      P05026
ATP1B2      P14415
ATP1B3      P54709
ATP1B4      Q9UN42
ATP2A1      O14983
ATP2A2      P16615
ATP2A3      Q93084
ATP2B1      P20020
ATP2B2      Q01814
ATP2B3      Q16720
ATP2B4      P23634
ATP2C1      P98194
ATP2C2      O75185
ATP4A       P20648
ATP4B       P51164
ATP5A1      P25705
ATP5B       P06576
ATP5C1      P36542
ATP5D       P30049
ATP5E       P56381
ATP5F1      P24539
ATP5G1      P05496
ATP5G2      Q06055
ATP5G3      P48201
ATP5H       O75947
ATP5I       P56385
ATP5J       P18859
ATP5J2      P56134
ATP5L       O75964
ATP5L2      Q7Z4Y8
ATP5O       P48047
ATP5S       Q99766
ATP6AP1     Q15904
ATP6AP1L    Q52LC2
ATP6AP2     O75787
ATP6V1A     P38606
ATP6V1B1    P15313
ATP6V1B2    P21281
ATP6V1C1    P21283
ATP6V1C2    Q8NEY4
ATP6V1D     Q9Y5K8
ATP6V1E1    P36543
ATP6V1E2    Q96A05
ATP6V1F     Q16864
ATP6V1G1    O75348
ATP6V1G2    O95670
ATP6V1G3    Q96LB4
ATP6V1H     Q9UI12
ATP6V0A1    Q93050
ATP6V0A2    Q9Y487
ATP6V0A4    Q9HBG4
ATP6V0B     Q99437
ATP6V0C     P27449
ATP6V0D1    P61421
ATP6V0D2    Q8N8Y2
ATP6V0E1    O15342
ATP6V0E2    Q8NHE4
ATP7A       Q04656
ATP7B       P35670
ATP8A1      Q9Y2Q0
ATP8A2      Q9NTI2
ATP8B1      O43520
ATP8B2      P98198
ATP8B3      O60423
ATP8B4      Q8TF62
ATP9A       O75110
ATP9B       O43861
ATP10A      O60312
ATP10B      O94823
ATP10D      Q9P241
ATP11A      P98196
ATP11B      Q9Y2G3
ATP11C      Q8NB49
ATP12A      P54707
ATP13A1     Q9HD20
ATP13A2     Q9NQ11
ATP13A3     Q9H7F0
ATP13A4     Q4VNC1
ATP13A5     Q4VNC0
ATP23       Q9Y6H3
ATPAF1      Q5TC12
ATPAF2      Q8N5M1
ATPIF1      Q9UII2
ATR         Q13535
ATRAID      Q6UW56
ATRIP       Q8WXE1
ATRN        O75882
ATRNL1      Q5VV63
ATRX        P46100
ATXN1       P54253
ATXN1L      P0C7T5
ATXN2       Q99700
ATXN2L      Q8WWM7
ATXN3       P54252
ATXN3L      Q9H3M9
ATXN7       O15265
ATXN7L1     Q9ULK2
ATXN7L2     Q5T6C5
ATXN7L3     Q14CW9
ATXN7L3B    Q96GX2
ATXN8       Q156A1
ATXN10      Q9UBB4
AUH         Q13825
AUNIP       Q9H7T9
AUP1        Q9Y679
AURKA       O14965
AURKAIP1    Q9NWT8
AURKB       Q96GD4
AURKC       Q9UQB9
AUTS2       Q8WXX7
AVEN        Q9NQS1
AVIL        O75366
AVL9        Q8NBF6
AVP         P01185
AVPI1       Q5T686
AVPR1A      P37288
AVPR1B      P47901
AVPR2       P30518
AWAT1       Q58HT5
AWAT2       Q6E213
AXDND1      Q5T1B0
AXIN1       O15169
AXIN2       Q9Y2T1
AXL         P30530
AZGP1       P25311
AZI2        Q9H6S1
AZIN1       O14977
AZIN2       Q96A70
AZU1        P20160
B2M         P61769
B3GALNT1    O75752
B3GALNT2    Q8NCR0
B3GALT1     Q9Y5Z6
B3GALT2     O43825
B3GALT4     O96024
B3GALT5     Q9Y2C3
B3GALT6     Q96L58
B3GAT1      Q9P2W7
B3GAT2      Q9NPZ5
B3GAT3      O94766
B3GLCT      Q6Y288
B3GNT2      Q9NY97
B3GNT3      Q9Y2A9
B3GNT4      Q9C0J1
B3GNT5      Q9BYG0
B3GNT6      Q6ZMB0
B3GNT7      Q8NFL0
B3GNT8      Q7Z7M8
B3GNT9      Q6UX72
B3GNTL1     Q67FW5
B4GALNT1    Q00973
B4GALNT2    Q8NHY0
B4GALNT3    Q6L9W6
B4GALNT4    Q76KP1
B4GALT1     P15291
B4GALT2     O60909
B4GALT3     O60512
B4GALT4     O60513
B4GALT5     O43286
B4GALT6     Q9UBX8
B4GALT7     Q9UBV7
B4GAT1      O43505
B9D1        Q9UPM9
B9D2        Q9BPU9
BAALC       Q8WXS3
BAAT        Q14032
BABAM1      Q9NWV8
BABAM2      Q9NXR7
BACE1       P56817
BACE2       Q9Y5Z0
BACH1       O14867
BACH2       Q9BYV9
BAD         Q92934
BAG1        Q99933
BAG2        O95816
BAG3        O95817
BAG4        O95429
BAG5        Q9UL15
BAG6        P46379
BAGE        Q13072
BAGE3       Q86Y29
BAGE4       Q86Y28
BAHCC1      Q9P281
BAHD1       Q8TBE0
BAIAP2      Q9UQB8
BAIAP2L1    Q9UHR4
BAIAP2L2    Q6UXY1
BAIAP3      O94812
BAK1        Q16611
BAMBI       Q13145
BANF1       O75531
BANF2       Q9H503
BANK1       Q8NDB2
BANP        Q8N9N5
BAP1        Q92560
BARD1       Q99728
BARHL1      Q9BZE3
BARHL2      Q9NY43
BARX1       Q9HBU1
BARX2       Q9UMQ3
BASP1       P80723
BATF        Q16520
BATF2       Q8N1L9
BATF3       Q9NR55
BAX         Q07812
BAZ1A       Q9NRL2
BAZ1B       Q9UIG0
BAZ2A       Q9UIF9
BAZ2B       Q9UIF8
BBIP1       A8MTZ0
BBOF1       Q8ND07
BBOX1       O75936
BBS1        Q8NFJ9
BBS2        Q9BXC9
BBS4        Q96RK4
BBS5        Q8N3I7
BBS7        Q8IWZ6
BBS9        Q3SYG4
BBS10       Q8TAM1
BBS12       Q6ZW61
BBX         Q8WY36
BCAM        P50895
BCAN        Q96GW7
BCAP29      Q9UHQ4
BCAP31      P51572
BCAR1       P56945
BCAR3       O75815
BCAS1       O75363
BCAS2       O75934
BCAS3       Q9H6U6
BCAS4       Q8TDM0
BCAT1       P54687
BCAT2       O15382
BCCIP       Q9P287
BCDIN3D     Q7Z5W3
BCHE        P06276
BCKDHA      P12694
BCKDHB      P21953
BCKDK       O14874
BCL2        P10415
BCL2A1      Q16548
BCL2L1      Q07817
BCL2L2      Q92843
BCL2L10     Q9HD36
BCL2L11     O43521
BCL2L12     Q9HB09
BCL2L13     Q9BXK5
BCL2L14     Q9BZR8
BCL2L15     Q5TBC7
BCL3        P20749
BCL6        P41182
BCL6B       Q8N143
BCL7A       Q4VC05
BCL7B       Q9BQE9
BCL7C       Q8WUZ0
BCL9        O00512
BCL9L       Q86UU0
BCL10       O95999
BCL11A      Q9H165
BCL11B      Q9C0K0
BCLAF1      Q9NYF8
BCO1        Q9HAY6
BCO2        Q9BYV7
BCOR        Q6W2J9
BCORL1      Q5H9F3
BCR         P11274
BCS1L       Q9Y276
BDH1        Q02338
BDH2        Q9BUT1
BDKRB1      P46663
BDKRB2      P30411
BDNF        P23560
BDP1        A6H8Y1
BEAN1       Q3B7T3
BECN1       Q14457
BECN2       A8MW95
BEGAIN      Q9BUH8
BEND2       Q8NDZ0
BEND3       Q5T5X7
BEND4       Q6ZU67
BEND5       Q7L4P6
BEND6       Q5SZJ8
BEND7       Q8N7W2
BEST1       O76090
BEST2       Q8NFU1
BEST3       Q8N1M1
BEST4       Q8NFU0
BET1        O15155
BET1L       Q9NYM9
BEX1        Q9HBH7
BEX2        Q9BXY8
BEX3        Q00994
BEX4        Q9NWD9
BEX5        Q5H9J7
BFAR        Q9NZS9
BFSP1       Q12934
BFSP2       Q13515
BGLAP       P02818
BGN         P21810
BHLHA9      Q7RTU4
BHLHA15     Q7RTS1
BHLHB9      Q6PI77
BHLHE22     Q8NFJ8
BHLHE23     Q8NDY6
BHLHE40     O14503
BHLHE41     Q9C0J9
BHMG1       C9JSJ3
BHMT        Q93088
BHMT2       Q9H2M3
BICC1       Q9H694
BICD1       Q96G01
BICD2       Q8TD16
BICDL1      Q6ZP65
BICDL2      A1A5D9
BICRA       Q9NZM4
BICRAL      Q6AI39
BID         P55957
BIK         Q13323
BIN1        O00499
BIN2        Q9UBW5
BIN3        Q9NQY0
BIRC2       Q13490
BIRC3       Q13489
BIRC5       O15392
BIRC6       Q9NR09
BIRC7       Q96CA5
BIRC8       Q96P09
BIVM        Q86UB2
BLCAP       P62952
BLID        Q8IZY5
BLK         P51451
BLM         P54132
BLMH        Q13867
BLNK        Q8WV28
BLOC1S1     P78537
BLOC1S2     Q6QNY1
BLOC1S3     Q6QNY0
BLOC1S4     Q9NUP1
BLOC1S5     Q8TDH9
BLOC1S6     Q9UL45
BLVRA       P53004
BLVRB       P30043
BLZF1       Q9H2G9
BMF         Q96LC9
BMI1        P35226
BMP1        P13497
BMP2        P12643
BMP2K       Q9NSY1
BMP3        P12645
BMP4        P12644
BMP5        P22003
BMP6        P22004
BMP7        P18075
BMP8A       Q7Z5Y6
BMP8B       P34820
BMP10       O95393
BMP15       O95972
BMPER       Q8N8U9
BMPR1A      P36894
BMPR1B      O00238
BMPR2       Q13873
BMS1        Q14692
BMT2        Q1RMZ1
BMX         P51813
BNC1        Q01954
BNC2        Q6ZN30
BNIP1       Q12981
BNIP2       Q12982
BNIP3       Q12983
BNIP3L      O60238
BNIPL       Q7Z465
BOC         Q9BWV1
BOD1        Q96IK1
BOD1L1      Q8NFC6
BOD1L2      Q8IYS8
BOK         Q9UMX3
BOLA1       Q9Y3E2
BOLA2       Q9H3K6
BOLA2B      Q9H3K6
BOLA3       Q53S33
BOLL        Q8N9W6
BOP1        Q14137
BORA        Q6PGQ7
BORCS5      Q969J3
BORCS6      Q96GS4
BORCS7      Q96B45
BORCS8      Q96FH0
BPGM        P07738
BPHL        Q86WA6
BPI         P17213
BPIFA1      Q9NP55
BPIFA2      Q96DR5
BPIFA3      Q9BQP9
BPIFB1      Q8TDL5
BPIFB2      Q8N4F0
BPIFB3      P59826
BPIFB4      P59827
BPIFB6      Q8NFQ5
BPIFC       Q8NFQ6
BPNT1       O95861
BPTF        Q12830
BPY2        O14599
BPY2B       O14599
BPY2C       O14599
BRAF        P15056
BRAP        Q7Z569
BRAT1       Q6PJG6
BRCA1       P38398
BRCA2       P51587
BRCC3       P46736
BRD1        O95696
BRD2        P25440
BRD3        Q15059
BRD4        O60885
BRD7        Q9NPI1
BRD8        Q9H0E9
BRD9        Q9H8M2
BRDT        Q58F21
BRF1        Q92994
BRF2        Q9HAW0
BRI3        O95415
BRI3BP      Q8WY22
BRICD5      Q6PL45
BRINP1      O60477
BRINP2      Q9C0B6
BRINP3      Q76B58
BRIP1       Q9BX63
BRIX1       Q8TDN6
BRK1        Q8WUW1
BRMS1       Q9HCU9
BRMS1L      Q5PSV4
BROX        Q5VW32
BRPF1       P55201
BRPF3       Q9ULD4
BRS3        P32247
BRSK1       Q8TDC3
BRSK2       Q8IWQ3
BRWD1       Q9NSI6
BRWD3       Q6RI45
BSCL2       Q96G97
BSDC1       Q9NW68
BSG         P35613
BSN         Q9UPA5
BSND        Q8WZ55
BSPH1       Q075Z2
BSPRY       Q5W0U4
BST1        Q10588
BST2        Q10589
BSX         Q3C1V8
BTAF1       O14981
BTBD1       Q9H0C5
BTBD2       Q9BX70
BTBD3       Q9Y2F9
BTBD6       Q96KE9
BTBD7       Q9P203
BTBD8       Q5XKL5
BTBD9       Q96Q07
BTBD10      Q9BSF8
BTBD11      A6QL63
BTBD16      Q32M84
BTBD17      A6NE02
BTBD18      B2RXH4
BTBD19      C9JJ37
BTC         P35070
BTD         P43251
BTF3        P20290
BTF3L4      Q96K17
BTG1        P62324
BTG2        P78543
BTG3        Q14201
BTG4        Q9NY30
BTK         Q06187
BTLA        Q7Z6A9
BTN1A1      Q13410
BTN2A1      Q7KYR7
BTN2A2      Q8WVV5
BTN3A1      O00481
BTN3A2      P78410
BTN3A3      O00478
BTNL2       Q9UIR0
BTNL3       Q6UXE8
BTNL8       Q6UX41
BTNL9       Q6UXG8
BTRC        Q9Y297
BUB1        O43683
BUB1B       O60566
BUB3        O43684
BUD13       Q9BRD0
BUD23       O43709
BUD31       P41223
BVES        Q8NE79
BYSL        Q13895
BZW1        Q7L1Q6
BZW2        Q9Y6E2
C1D         Q13901
C1GALT1     Q9NS00
C1GALT1C1   Q96EU7
C1GALT1C1L  P0DN25
C1orf21     Q9H246
C1orf27     Q5SWX8
C1orf35     Q9BU76
C1orf43     Q9BWL3
C1orf50     Q9BV19
C1orf52     Q8N6N3
C1orf53     Q5VUE5
C1orf54     Q8WWF1
C1orf56     Q9BUN1
C1orf61     Q13536
C1orf64     Q8NEQ6
C1orf68     Q5T750
C1orf74     Q96LT6
C1orf87     Q8N0U7
C1orf94     Q6P1W5
C1orf100    Q5SVJ3
C1orf105    O95561
C1orf109    Q9NX04
C1orf112    Q9NSG2
C1orf115    Q9H7X2
C1orf116    Q9BW04
C1orf122    Q6ZSJ8
C1orf123    Q9NWV4
C1orf127    Q8N9H9
C1orf131    Q8NDD1
C1orf141    Q5JVX7
C1orf146    Q5VVC0
C1orf158    Q8N1D5
C1orf159    Q96HA4
C1orf162    Q8NEQ5
C1orf167    Q5SNV9
C1orf174    Q8IYL3
C1orf185    Q5T7R7
C1orf186    Q6ZWK4
C1orf189    Q5VU69
C1orf194    Q5T5A4
C1orf198    Q9H425
C1orf210    Q8IVY1
C1orf216    Q8TAB5
C1orf226    A1L170
C1orf228    Q6PIY5
C1QA        P02745
C1QB        P02746
C1QBP       Q07021
C1QC        P02747
C1QL1       O75973
C1QL2       Q7Z5L3
C1QL3       Q5VWW1
C1QL4       Q86Z23
C1QTNF1     Q9BXJ1
C1QTNF2     Q9BXJ5
C1QTNF3     Q9BXJ4
C1QTNF4     Q9BXJ3
C1QTNF5     Q9BXJ0
C1QTNF6     Q9BXI9
C1QTNF7     Q9BXJ2
C1QTNF8     P60827
C1QTNF9     P0C862
C1QTNF9B    B2RNN3
C1QTNF12    Q5T7M4
C1R         P00736
C1RL        Q9NZP8
C1S         P09871
C2          P06681
C2CD2       Q9Y426
C2CD2L      O14523
C2CD3       Q4AC94
C2CD4A      Q8NCU7
C2CD4B      A6NLJ0
C2CD4C      Q8TF44
C2CD4D      B7Z1M9
C2CD5       Q86YS7
C2CD6       Q53TS8
C2orf15     Q8WU43
C2orf16     Q68DN1
C2orf40     Q9H1Z8
C2orf42     Q9NWW7
C2orf49     Q9BVC5
C2orf50     Q96LR7
C2orf54     Q08AI8
C2orf66     Q6UXQ4
C2orf68     Q2NKX9
C2orf69     Q8N8R5
C2orf70     A6NJV1
C2orf71     A6NGG8
C2orf72     A6NCS6
C2orf73     Q8N5S3
C2orf74     A8MZ97
C2orf76     Q3KRA6
C2orf78     A6NCI8
C2orf80     Q0P641
C2orf81     A6NN90
C2orf82     Q6UX34
C2orf83     Q53S99
C2orf88     Q9BSF0
C2orf91     Q6ZV80
C3          P01024
C3AR1       Q16581
C3orf14     Q9HBI5
C3orf18     Q9UK00
C3orf20     Q8ND61
C3orf22     Q8N5N4
C3orf30     Q96M34
C3orf33     Q6P1S2
C3orf35     Q8IVJ8
C3orf36     Q3SXR2
C3orf38     Q5JPI3
C3orf52     Q5BVD1
C3orf56     Q8N813
C3orf58     Q8NDZ4
C3orf62     Q6ZUJ4
C3orf67     Q6ZVT6
C3orf70     A6NLC5
C3orf80     F5H4A9
C3orf84     H3BNL1
C4A         P0C0L4
C4B         P0C0L5
C4BPA       P04003
C4BPB       P20851
C4orf3      Q8WVX3
C4orf17     Q53FE4
C4orf19     Q8IY42
C4orf22     Q6V702
C4orf26     Q17RF5
C4orf32     Q8N8J7
C4orf33     Q8N1A6
C4orf36     Q96KX1
C4orf45     Q96LM5
C4orf46     Q504U0
C4orf47     A7E2U8
C4orf48     Q5BLP8
C4orf50     Q6ZRC1
C4orf51     C9J302
C5          P01031
C5AR1       P21730
C5AR2       Q9P296
C5orf15     Q8NC54
C5orf22     Q49AR2
C5orf24     Q7Z6I8
C5orf30     Q96GV9
C5orf34     Q96MH7
C5orf38     Q86SI9
C5orf42     Q9H799
C5orf46     Q6UWT4
C5orf47     Q569G3
C5orf49     A4QMS7
C5orf51     A6NDU8
C5orf52     A6NGY3
C5orf58     C9J3I9
C5orf60     A6NFR6
C5orf63     A6NC05
C5orf67     F2Z3F1
C6          P13671
C6orf10     Q5SRN2
C6orf15     Q6UXA7
C6orf47     O95873
C6orf48     Q9UBA6
C6orf52     Q5T4I8
C6orf58     Q6P5S2
C6orf62     Q9GZU0
C6orf89     Q6UWU4
C6orf106    Q9H6K1
C6orf118    Q5T5N4
C6orf120    Q7Z4R8
C6orf132    Q5T0Z8
C6orf136    Q5SQH8
C6orf141    Q5SZD1
C6orf163    Q5TEZ5
C6orf201    Q7Z4U5
C6orf203    Q9P0P8
C6orf222    P0C671
C6orf223    Q8N319
C6orf226    Q5I0X4
C6orf229    H3BNL8
C7          P10643
C7orf25     Q9BPX7
C7orf26     Q96N11
C7orf31     Q8N865
C7orf33     Q8WU49
C7orf34     Q96L11
C7orf43     Q8WVR3
C7orf49     Q9BWK5
C7orf50     Q9BRJ6
C7orf57     Q8NEG2
C7orf61     Q8IZ16
C7orf72     A4D263
C7orf73     E0CX11
C7orf77     A4D0Y5
C8A         P07357
C8B         P07358
C8G         P07360
C8orf4      Q9NR00
C8orf22     Q8WWR9
C8orf33     Q9H7E9
C8orf34     Q49A92
C8orf37     Q96NL8
C8orf44     Q96CB5
C8orf46     Q8TAG6
C8orf48     Q96LL4
C8orf58     Q8NAV2
C8orf59     Q8N0T1
C8orf74     Q6P047
C8orf76     Q96K31
C8orf82     Q6P1X6
C8orf86     Q6ZUL3
C8orf88     P0DMB2
C8orf89     P0DMQ9
C9          P02748
C9orf3      Q8N6M6
C9orf16     Q9BUW7
C9orf24     Q8NCR6
C9orf40     Q8IXQ3
C9orf43     Q8TAL5
C9orf47     Q6ZRZ4
C9orf50     Q5SZB4
C9orf57     Q5W0N0
C9orf64     Q5T6V5
C9orf66     Q5T8R8
C9orf72     Q96LT7
C9orf78     Q9NZ63
C9orf84     Q5VXU9
C9orf85     Q96MD7
C9orf92     A6NGG3
C9orf116    Q5BN46
C9orf129    Q5T035
C9orf131    Q5VYM1
C9orf135    Q5VTT2
C9orf142    Q9BUH6
C9orf152    Q5JTZ5
C9orf153    Q5TBE3
C9orf172    C9J069
C10orf10    Q9NTK1
C10orf35    Q96D05
C10orf53    Q8N6V4
C10orf62    Q5T681
C10orf67    Q8IYJ2
C10orf71    Q711Q0
C10orf76    Q5T2E6
C10orf82    Q8WW14
C10orf88    Q9H8K7
C10orf90    Q96M02
C10orf99    Q6UWK7
C10orf105   Q8TEF2
C10orf107   Q8IVU9
C10orf113   Q5VZT2
C10orf120   Q5SQS8
C10orf126   Q8N4M7
C10orf128   Q5T292
C10orf142   B7Z368
C11orf1     Q9H5F2
C11orf16    Q9NQ32
C11orf21    Q9P2W6
C11orf24    Q96F05
C11orf40    Q8WZ69
C11orf42    Q8N5U0
C11orf45    Q8TAV5
C11orf49    Q9H6J7
C11orf52    Q96A22
C11orf53    Q8IXP5
C11orf54    Q9H0W9
C11orf57    Q6ZUT1
C11orf58    O00193
C11orf63    Q6NUN7
C11orf65    Q8NCR3
C11orf68    Q9H3H3
C11orf70    Q9BRQ4
C11orf71    Q6IPW1
C11orf74    Q86VG3
C11orf80    Q8N6T0
C11orf84    Q9BUA3
C11orf86    A6NJI1
C11orf87    Q6NUJ2
C11orf88    Q6PI97
C11orf91    Q3C1V1
C11orf94    C9JXX5
C11orf95    C9JLR9
C11orf96    Q7Z7L8
C11orf97    A0A1B0GVM6
C11orf98    E9PRG8
C12orf4     Q9NQ89
C12orf10    Q9HB07
C12orf29    Q8N999
C12orf40    Q86WS4
C12orf42    Q96LP6
C12orf43    Q96C57
C12orf45    Q8N5I9
C12orf49    Q9H741
C12orf50    Q8NA57
C12orf54    Q6X4T0
C12orf56    Q8IXR9
C12orf57    Q99622
C12orf60    Q5U649
C12orf65    Q9H3J6
C12orf66    Q96MD2
C12orf71    A8MTZ7
C12orf73    Q69YU5
C12orf74    Q32Q52
C12orf75    Q8TAD7
C12orf76    Q8N812
C14orf2     P56378
C14orf28    Q4W4Y0
C14orf37    Q86TY3
C14orf39    Q8N1H7
C14orf79    Q96F83
C14orf80    Q86SX3
C14orf93    Q9H972
C14orf105   Q9NVL8
C14orf119   Q9NWQ9
C14orf159   Q7Z3D6
C14orf166   Q9Y224
C14orf177   Q52M58
C14orf178   Q8N769
C14orf180   Q8N912
C15orf39    Q6ZRI6
C15orf40    Q8WUR7
C15orf41    Q9Y2V0
C15orf48    Q9C002
C15orf52    Q6ZUT6
C15orf53    Q8NAA6
C15orf59    Q2T9L4
C15orf61    A6NNL5
C15orf62    A8K5M9
C15orf65    H3BRN8
C16orf45    Q96MC5
C16orf46    Q6P387
C16orf52    Q8NHV5
C16orf54    Q6UWD8
C16orf58    Q96GQ5
C16orf59    Q7L2K0
C16orf62    Q7Z3J2
C16orf70    Q9BSU1
C16orf71    Q8IYS4
C16orf72    Q14CZ0
C16orf74    Q96GX8
C16orf78    Q8WTQ4
C16orf86    Q6ZW13
C16orf87    Q6PH81
C16orf89    Q6UX73
C16orf90    A8MZG2
C16orf91    Q4G0I0
C16orf92    Q96LL3
C16orf95    Q9H693
C16orf96    A6NNT2
C17orf47    Q8NEP4
C17orf49    Q8IXM2
C17orf50    Q8WW18
C17orf51    A8MQB3
C17orf53    Q8N3J3
C17orf58    Q2M2W7
C17orf62    Q9BQA9
C17orf64    Q86WR6
C17orf67    Q0P5P2
C17orf74    Q0P670
C17orf75    Q9HAS0
C17orf78    Q8N4C9
C17orf80    Q9BSJ5
C17orf97    Q6ZQX7
C17orf98    A8MV24
C17orf99    Q6UX52
C17orf100   A8MU93
C17orf105   B2RV13
C17orf107   Q6ZR85
C18orf8     Q96DM3
C18orf21    Q32NC0
C18orf25    Q96B23
C18orf32    Q8TCD1
C18orf54    Q8IYD9
C18orf63    Q68DL7
C19orf12    Q9NSK7
C19orf18    Q8NEA5
C19orf24    Q9BVV8
C19orf25    Q9UFG5
C19orf33    Q9GZP8
C19orf35    Q6ZS72
C19orf38    A8MVS5
C19orf44    Q9H6X5
C19orf47    Q8N9M1
C19orf48    Q6RUI8
C19orf53    Q9UNZ5
C19orf54    Q5BKX5
C19orf57    Q0VDD7
C19orf60    Q96EN9
C19orf66    Q9NUL5
C19orf67    A6NJJ6
C19orf68    Q86XI8
C19orf70    Q5XKP0
C19orf71    A6NCJ1
C19orf73    Q9NVV2
C19orf81    C9J6K1
C19orf84    I3L1E1
C20orf24    Q9BUV8
C20orf27    Q9GZN8
C20orf85    Q9H1P6
C20orf96    Q9NUD7
C20orf141   Q9NUB4
C20orf144   Q9BQM9
C20orf173   Q96LM9
C20orf194   Q5TEA3
C20orf196   Q8IYI0
C20orf202   A1L168
C20orf203   Q8NBC4
C21orf2     O43822
C21orf33    P30042
C21orf58    P58505
C21orf59    P57076
C21orf62    Q9NYP8
C21orf91    Q9NYK6
C21orf140   B9A014
C22orf15    Q8WYQ4
C22orf23    Q9BZE7
C22orf31    O95567
C22orf39    Q6P5X5
C22orf42    Q6IC83
C22orf46    C9J442
CA1         P00915
CA2         P00918
CA3         P07451
CA4         P22748
CA5A        P35218
CA5B        Q9Y2D0
CA6         P23280
CA7         P43166
CA8         P35219
CA9         Q16790
CA10        Q9NS85
CA11        O75493
CA12        O43570
CA13        Q8N1Q1
CA14        Q9ULX7
CAAP1       Q9H8G2
CAB39       Q9Y376
CAB39L      Q9H9S4
CABIN1      Q9Y6J0
CABLES1     Q8TDN4
CABLES2     Q9BTV7
CABP1       Q9NZU7
CABP2       Q9NPB3
CABP4       P57796
CABP5       Q9NP86
CABP7       Q86V35
CABS1       Q96KC9
CABYR       O75952
CACFD1      Q9UGQ2
CACHD1      Q5VU97
CACNA1A     O00555
CACNA1B     Q00975
CACNA1C     Q13936
CACNA1D     Q01668
CACNA1E     Q15878
CACNA1F     O60840
CACNA1G     O43497
CACNA1H     O95180
CACNA1I     Q9P0X4
CACNA1S     Q13698
CACNA2D1    P54289
CACNA2D2    Q9NY47
CACNA2D3    Q8IZS8
CACNA2D4    Q7Z3S7
CACNB1      Q02641
CACNB2      Q08289
CACNB3      P54284
CACNB4      O00305
CACNG1      Q06432
CACNG2      Q9Y698
CACNG3      O60359
CACNG4      Q9UBN1
CACNG5      Q9UF02
CACNG6      Q9BXT2
CACNG7      P62955
CACNG8      Q8WXS5
CACTIN      Q8WUQ7
CACUL1      Q86Y37
CACYBP      Q9HB71
CAD         P27708
CADM1       Q9BY67
CADM2       Q8N3J6
CADM3       Q8N126
CADM4       Q8NFZ8
CADPS       Q9ULU8
CADPS2      Q86UW7
CAGE1       Q8TC20
CALB1       P05937
CALB2       P22676
CALCB       P10092
CALCOCO1    Q9P1Z2
CALCOCO2    Q13137
CALCR       P30988
CALCRL      Q16602
CALD1       Q05682
CALHM1      Q8IU99
CALHM2      Q9HA72
CALHM3      Q86XJ0
CALM1       P0DP23
CALM2       P0DP24
CALM3       P0DP25
CALML3      P27482
CALML4      Q96GE6
CALML5      Q9NZT1
CALML6      Q8TD86
CALN1       Q9BXU9
CALR        P27797
CALR3       Q96L12
CALU        O43852
CALY        Q9NYX4
CAMK1       Q14012
CAMK1D      Q8IU85
CAMK1G      Q96NX5
CAMK2A      Q9UQM7
CAMK2B      Q13554
CAMK2D      Q13557
CAMK2G      Q13555
CAMK2N1     Q7Z7J9
CAMK2N2     Q96S95
CAMK4       Q16566
CAMKK1      Q8N5S9
CAMKK2      Q96RR4
CAMKMT      Q7Z624
CAMKV       Q8NCB2
CAMLG       P49069
CAMP        P49913
CAMSAP1     Q5T5Y3
CAMSAP2     Q08AD1
CAMSAP3     Q9P1Y5
